Generation,Policy_Index,Fitness,Policy_JSON
2,19,430,"{""dist:medium_pos:below"": ""flap"", ""dist:close_velo:rising"": ""do_nothing"", ""pos:above"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""flap""}"
3,0,9950,"{""pos:above"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""dist:medium_velo:rising"": ""do_nothing"", ""default"": ""do_nothing""}"
3,1,10050,"{""default"": ""do_nothing"", ""pos:above"": ""flap"", ""pos:above_velo:rising"": ""do_nothing""}"
3,2,56010,"{""pos:above"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""do_nothing""}"
3,3,1410,"{""dist:medium_pos:below"": ""flap"", ""dist:close_velo:rising"": ""flap"", ""pos:above"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing""}"
3,4,440,"{""pos:above"": ""flap"", ""velo:rising"": ""flap"", ""pos:below_velo:falling"": ""flap"", ""default"": ""do_nothing""}"
3,5,370,"{""pos:above"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""dist:medium_velo:rising"": ""do_nothing"", ""default"": ""flap""}"
3,6,1110,"{""pos:above"": ""flap"", ""velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""do_nothing"", ""pos:below_velo:falling"": ""flap"", ""default"": ""do_nothing""}"
3,7,32330,"{""pos:above"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing""}"
3,8,40930,"{""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""pos:above"": ""flap"", ""default"": ""do_nothing""}"
3,9,880,"{""pos:above"": ""flap"", ""dist:far_pos:aligned_velo:rising"": ""do_nothing"", ""velo:rising"": ""flap"", ""default"": ""do_nothing""}"
3,10,320,"{""dist:close_velo:rising"": ""flap"", ""dist:medium_pos:below"": ""flap"", ""pos:above"": ""flap"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing"", ""dist:far_pos:above"": ""do_nothing""}"
3,11,360,"{""dist:close_velo:rising"": ""do_nothing"", ""dist:medium_pos:below"": ""flap"", ""pos:above"": ""flap"", ""velo:rising"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""pos:below_velo:falling"": ""flap"", ""default"": ""do_nothing""}"
3,12,320,"{""pos:above"": ""do_nothing"", ""pos:above_velo:rising"": ""do_nothing"", ""dist:medium_velo:rising"": ""do_nothing"", ""default"": ""do_nothing""}"
3,13,560,"{""dist:close_velo:rising"": ""flap"", ""default"": ""do_nothing"", ""pos:above"": ""flap"", ""velo:rising"": ""flap""}"
3,14,1190,"{""dist:medium_velo:rising"": ""do_nothing"", ""dist:close_velo:rising"": ""flap"", ""dist:medium_pos:below"": ""flap"", ""pos:above"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing"", ""pos:aligned"": ""do_nothing""}"
3,15,360,"{""pos:above"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""dist:medium_velo:rising"": ""do_nothing"", ""default"": ""flap""}"
3,16,1130,"{""dist:medium_pos:below"": ""flap"", ""pos:above"": ""flap"", ""dist:close_velo:rising"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing""}"
3,17,1230,"{""dist:medium_pos:below"": ""flap"", ""pos:above"": ""flap"", ""dist:close_velo:rising"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing""}"
3,18,1410,"{""dist:close_velo:rising"": ""flap"", ""dist:medium_pos:below"": ""flap"", ""pos:above"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing""}"
3,19,420,"{""pos:below_velo:falling"": ""flap"", ""pos:above"": ""flap"", ""velo:rising"": ""flap"", ""default"": ""do_nothing"", ""dist:medium_pos:aligned_velo:rising"": ""flap""}"
4,0,39220,"{""pos:above"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""do_nothing""}"
4,1,56010,"{""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""pos:above"": ""flap"", ""default"": ""do_nothing""}"
4,2,3120,"{""pos:above"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing""}"
4,3,16790,"{""default"": ""do_nothing"", ""pos:above"": ""flap"", ""pos:above_velo:rising"": ""do_nothing""}"
4,4,13460,"{""pos:above"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""dist:medium_velo:rising"": ""do_nothing"", ""default"": ""do_nothing""}"
4,5,8300,"{""dist:medium_pos:above_velo:stable"": ""flap"", ""pos:above"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing""}"
4,6,1430,"{""pos:above"": ""flap"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing"", ""dist:close_pos:above"": ""do_nothing""}"
4,7,320,"{""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""pos:above"": ""do_nothing"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing""}"
4,8,360,"{""default"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""dist:close_pos:aligned_velo:stable"": ""flap""}"
4,9,320,"{""pos:above"": ""do_nothing"", ""pos:above_velo:rising"": ""do_nothing"", ""dist:medium_velo:rising"": ""do_nothing"", ""default"": ""do_nothing""}"
4,10,1410,"{""pos:above"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing"", ""dist:medium"": ""flap""}"
4,11,16820,"{""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""pos:above"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing""}"
4,12,320,"{""pos:above"": ""do_nothing"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing""}"
4,13,360,"{""dist:close_pos:aligned"": ""do_nothing"", ""default"": ""flap""}"
4,14,360,"{""pos:above"": ""flap"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""flap""}"
4,15,56010,"{""pos:above"": ""flap"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing"", ""pos:aligned_velo:stable"": ""do_nothing""}"
4,16,360,"{""pos:above"": ""flap"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""flap""}"
4,17,56010,"{""dist:medium_pos:above_velo:stable"": ""flap"", ""pos:above"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing""}"
4,18,10080,"{""pos:above"": ""flap"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""default"": ""do_nothing""}"
4,19,1130,"{""dist:medium_velo:rising"": ""do_nothing"", ""pos:above"": ""flap"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing"", ""velo:falling"": ""flap""}"
5,0,56010,"{""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""pos:above"": ""flap"", ""default"": ""do_nothing""}"
5,1,18530,"{""pos:above"": ""flap"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing"", ""pos:aligned_velo:stable"": ""do_nothing""}"
5,2,16980,"{""dist:medium_pos:above_velo:stable"": ""flap"", ""pos:above"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing""}"
5,3,6630,"{""pos:above"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""do_nothing""}"
5,4,56010,"{""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""pos:above"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing""}"
5,5,320,"{""pos:aligned"": ""flap"", ""dist:close_pos:below_velo:rising"": ""do_nothing"", ""default"": ""do_nothing""}"
5,6,360,"{""pos:above"": ""flap"", ""dist:medium_pos:above_velo:stable"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""flap""}"
5,7,320,"{""dist:far_pos:above_velo:rising"": ""flap"", ""dist:medium_pos:aligned_velo:stable"": ""do_nothing"", ""dist:close_pos:below_velo:falling"": ""flap"", ""default"": ""do_nothing""}"
5,8,360,"{""pos:above"": ""flap"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""default"": ""flap""}"
5,9,15230,"{""pos:above"": ""flap"", ""pos:aligned_velo:stable"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing""}"
5,10,1130,"{""pos:above"": ""flap"", ""pos:aligned_velo:stable"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing"", ""velo:falling"": ""flap""}"
5,11,1410,"{""pos:above"": ""flap"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""flap"", ""default"": ""do_nothing""}"
5,12,9950,"{""pos:above"": ""flap"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing"", ""velo:falling"": ""do_nothing""}"
5,13,1430,"{""pos:above"": ""flap"", ""pos:aligned_velo:stable"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing"", ""pos:aligned"": ""flap""}"
5,14,47570,"{""pos:above"": ""flap"", ""pos:aligned_velo:stable"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""flap"", ""default"": ""do_nothing""}"
5,15,18740,"{""pos:above"": ""flap"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""flap"", ""default"": ""do_nothing""}"
5,16,320,"{""pos:above"": ""flap"", ""dist:medium_pos:above_velo:stable"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing"", ""dist:far"": ""do_nothing""}"
5,17,6720,"{""pos:above"": ""flap"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing"", ""dist:far_pos:below"": ""do_nothing""}"
5,18,690,"{""pos:above"": ""flap"", ""dist:far_pos:aligned_velo:rising"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""dist:close_pos:above_velo:stable"": ""do_nothing"", ""velo:rising"": ""flap"", ""default"": ""do_nothing""}"
5,19,11890,"{""pos:above"": ""flap"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing""}"
6,0,6530,"{""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""pos:above"": ""flap"", ""default"": ""do_nothing""}"
6,1,47800,"{""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""pos:above"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing""}"
6,2,13500,"{""pos:above"": ""flap"", ""pos:aligned_velo:stable"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""flap"", ""default"": ""do_nothing""}"
6,3,18700,"{""pos:above"": ""flap"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""flap"", ""default"": ""do_nothing""}"
6,4,4820,"{""pos:above"": ""flap"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing"", ""pos:aligned_velo:stable"": ""do_nothing""}"
6,5,10030,"{""pos:above"": ""flap"", ""pos:aligned_velo:stable"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing"", ""velo:stable"": ""do_nothing""}"
6,6,1450,"{""pos:above"": ""flap"", ""pos:aligned_velo:stable"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing""}"
6,7,430,"{""pos:above"": ""flap"", ""dist:far_pos:below_velo:rising"": ""do_nothing"", ""dist:medium_pos:aligned_velo:stable"": ""do_nothing"", ""dist:close_pos:above_velo:falling"": ""flap"", ""pos:aligned_velo:stable"": ""do_nothing"", ""pos:below_velo:rising"": ""flap"", ""default"": ""flap""}"
6,8,30470,"{""pos:above"": ""flap"", ""pos:aligned_velo:stable"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""pos:above_velo:rising"": ""flap"", ""default"": ""do_nothing""}"
6,9,360,"{""pos:above"": ""flap"", ""pos:aligned_velo:stable"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing"", ""dist:far_pos:below"": ""flap""}"
6,10,4820,"{""pos:above"": ""flap"", ""pos:aligned_velo:stable"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing"", ""dist:medium_velo:rising"": ""flap""}"
6,11,45890,"{""pos:above"": ""flap"", ""pos:aligned_velo:stable"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""flap"", ""default"": ""do_nothing"", ""dist:medium_pos:below_velo:falling"": ""do_nothing""}"
6,12,1600,"{""pos:above"": ""flap"", ""pos:aligned_velo:stable"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""flap"", ""default"": ""do_nothing"", ""dist:close_pos:above"": ""do_nothing""}"
6,13,1520,"{""pos:above"": ""flap"", ""pos:aligned_velo:stable"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""flap"", ""default"": ""do_nothing""}"
6,14,390,"{""pos:above"": ""flap"", ""pos:aligned_velo:stable"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""flap"", ""default"": ""do_nothing"", ""pos:below"": ""flap""}"
6,15,6570,"{""pos:above"": ""flap"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""flap"", ""default"": ""do_nothing"", ""velo:falling"": ""do_nothing""}"
6,16,320,"{""pos:above"": ""do_nothing"", ""pos:aligned_velo:stable"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""flap"", ""default"": ""do_nothing""}"
6,17,25490,"{""pos:above"": ""flap"", ""pos:aligned_velo:stable"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""flap"", ""default"": ""do_nothing""}"
6,18,320,"{""pos:above"": ""do_nothing"", ""pos:aligned_velo:stable"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing""}"
6,19,13440,"{""pos:above"": ""flap"", ""pos:aligned_velo:stable"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing""}"
7,0,44170,"{""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""pos:above"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing""}"
7,1,35710,"{""pos:above"": ""flap"", ""pos:aligned_velo:stable"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""flap"", ""default"": ""do_nothing"", ""dist:medium_pos:below_velo:falling"": ""do_nothing""}"
7,2,10010,"{""pos:above"": ""flap"", ""pos:aligned_velo:stable"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""pos:above_velo:rising"": ""flap"", ""default"": ""do_nothing""}"
7,3,18680,"{""pos:above"": ""flap"", ""pos:aligned_velo:stable"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""flap"", ""default"": ""do_nothing""}"
7,4,40790,"{""pos:above"": ""flap"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""flap"", ""default"": ""do_nothing""}"
7,5,1560,"{""pos:above"": ""flap"", ""pos:aligned_velo:stable"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""flap"", ""default"": ""do_nothing"", ""dist:medium_pos:below_velo:stable"": ""do_nothing""}"
7,6,27050,"{""pos:above"": ""flap"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""flap"", ""default"": ""do_nothing"", ""velo:stable"": ""do_nothing""}"
7,7,1190,"{""pos:above"": ""flap"", ""pos:aligned_velo:stable"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""flap"", ""default"": ""do_nothing"", ""dist:medium"": ""do_nothing""}"
7,8,1410,"{""pos:above"": ""flap"", ""pos:aligned_velo:stable"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""flap"", ""pos:above_velo:rising"": ""flap"", ""dist:medium_pos:below_velo:falling"": ""do_nothing"", ""default"": ""do_nothing""}"
7,9,360,"{""pos:above"": ""flap"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""flap"", ""default"": ""flap""}"
7,10,39190,"{""pos:above"": ""flap"", ""pos:aligned_velo:stable"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing"", ""dist:far_pos:above_velo:falling"": ""flap""}"
7,11,360,"{""pos:above"": ""flap"", ""pos:aligned_velo:stable"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""flap"", ""dist:medium_pos:below_velo:falling"": ""do_nothing"", ""default"": ""flap""}"
7,12,39180,"{""pos:above"": ""flap"", ""pos:aligned_velo:stable"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""flap"", ""default"": ""do_nothing"", ""pos:aligned"": ""do_nothing""}"
7,13,320,"{""pos:above_velo:rising"": ""flap"", ""default"": ""do_nothing""}"
7,14,18500,"{""pos:above"": ""flap"", ""pos:aligned_velo:stable"": ""flap"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""flap"", ""dist:medium_pos:below_velo:falling"": ""do_nothing"", ""default"": ""do_nothing""}"
7,15,400,"{""pos:above"": ""flap"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""flap""}"
7,16,1410,"{""pos:above"": ""flap"", ""pos:aligned_velo:stable"": ""do_nothing"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""flap"", ""default"": ""do_nothing"", ""pos:aligned"": ""flap""}"
7,17,320,"{""pos:aligned_velo:stable"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""flap"", ""dist:close_pos:above_velo:stable"": ""do_nothing"", ""default"": ""do_nothing""}"
7,18,360,"{""pos:above"": ""flap"", ""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""flap"", ""default"": ""flap""}"
7,19,56010,"{""pos:above"": ""flap"", ""dist:medium_pos:above_velo:stable"": ""flap"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing""}"
8,0,56010,"{""pos:above"": ""flap"", ""dist:medium_pos:above_velo:stable"": ""flap"", ""dist:medium_pos:below_velo:rising"": ""do_nothing"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing""}"
8,1,15170,"{""dist:medium_pos:above_velo:stable"": ""do_nothing"", ""pos:above"": ""flap"", ""pos:above_velo:rising"": ""do_nothing"", ""default"": ""do_nothing"", ""dist:medium_pos:below_velo:rising"": ""do_nothing""}"
